Angular frequency	Step time	Temperature	Oscillation strain	Oscillation stress	Tan(delta)	Storage modulus	Loss modulus
rad/s	min	°C	%	MPa		MPa	MPa
6.28319	3.01674	-56.298	0.0694484	1.73762	0.0321792	2500.74	80.4718
6.28319	3.06674	-56.118	0.0694733	1.73763	0.0315556	2499.90	78.8859
6.28319	3.11674	-55.938	0.0694872	1.73763	0.0319801	2499.36	79.9300
6.28319	3.16674	-55.747	0.0695420	1.73762	0.0320709	2497.39	80.0934
6.28319	3.21674	-55.549	0.0695967	1.73762	0.0319829	2495.43	79.8112
6.28319	3.26674	-55.356	0.0696242	1.73763	0.0320705	2494.44	79.9979
6.28319	3.31674	-55.162	0.0696687	1.73762	0.0322133	2492.83	80.3021
6.28319	3.36674	-54.986	0.0696738	1.73763	0.0319783	2492.67	79.7113
6.28319	3.41674	-54.795	0.0697470	1.73762	0.0321270	2490.04	79.9974
6.28319	3.46674	-54.589	0.0697938	1.73762	0.0322605	2488.36	80.2757
6.28319	3.51674	-54.405	0.0698015	1.73762	0.0319147	2488.11	79.4072
6.28319	3.56674	-54.235	0.0698640	1.73762	0.0325953	2485.82	81.0260
6.28319	3.61674	-54.037	0.0699124	1.73763	0.0325168	2484.12	80.7758
6.28319	3.66674	-53.843	0.0700354	1.73762	0.0327992	2479.73	81.3331
6.28319	3.71674	-53.657	0.0700087	1.73762	0.0328970	2480.66	81.6065
6.28319	3.76674	-53.476	0.0700726	1.73761	0.0324468	2478.43	80.4171
6.28319	3.81674	-53.292	0.0701627	1.73762	0.0330310	2475.21	81.7586
6.28319	3.86674	-53.099	0.0702183	1.73762	0.0331461	2473.23	81.9780
6.28319	3.91674	-52.924	0.0702922	1.73762	0.0331059	2470.65	81.7929
6.28319	3.96674	-52.734	0.0703555	1.73762	0.0332127	2468.42	81.9827
6.28319	4.01674	-52.541	0.0704422	1.73762	0.0336378	2465.34	82.9287
6.28319	4.06674	-52.354	0.0704889	1.73763	0.0342686	2463.66	84.4262
6.28319	4.11674	-52.159	0.0705912	1.73763	0.0337156	2460.15	82.9454
6.28319	4.16674	-51.986	0.0706166	1.73762	0.0344197	2459.18	84.6445
6.28319	4.21674	-51.797	0.0707461	1.73762	0.0341154	2454.71	83.7435
6.28319	4.26674	-51.615	0.0708325	1.73762	0.0346252	2451.67	84.8895
6.28319	4.31674	-51.420	0.0709405	1.73762	0.0348583	2447.92	85.3303
6.28319	4.36674	-51.239	0.0709761	1.73762	0.0352243	2446.66	86.1820
6.28319	4.41674	-51.078	0.0710546	1.73761	0.0350531	2443.96	85.6683
6.28319	4.46674	-50.905	0.0711097	1.73762	0.0356118	2442.02	86.9649
6.28319	4.51674	-50.715	0.0711747	1.73761	0.0354497	2439.81	86.4905
6.28319	4.56674	-50.519	0.0712803	1.73761	0.0357822	2436.15	87.1709
6.28319	4.61674	-50.321	0.0713043	1.73761	0.0361134	2435.31	87.9473
6.28319	4.66674	-50.137	0.0714050	1.73762	0.0359062	2431.90	87.3203
6.28319	4.71674	-49.992	0.0715082	1.73761	0.0364831	2428.34	88.5932
6.28319	4.76674	-49.831	0.0715946	1.73762	0.0365955	2425.40	88.7588
6.28319	4.81674	-49.652	0.0717206	1.73761	0.0367895	2421.12	89.0717
6.28319	4.86674	-49.485	0.0717922	1.73762	0.0372225	2418.68	90.0290
6.28319	4.91674	-49.325	0.0718653	1.73762	0.0379314	2416.14	91.6477
6.28319	4.96674	-49.157	0.0719483	1.73762	0.0381117	2413.35	91.9768
6.28319	5.01674	-48.978	0.0720689	1.73762	0.0382526	2409.30	92.1619
6.28319	5.06674	-48.820	0.0722153	1.73762	0.0390671	2404.33	93.9301
6.28319	5.11674	-48.657	0.0723789	1.73761	0.0387864	2398.91	93.0452
6.28319	5.16674	-48.499	0.0725098	1.73763	0.0391298	2394.57	93.6991
6.28319	5.21674	-48.354	0.0726047	1.73762	0.0402549	2391.32	96.2624
6.28319	5.26674	-48.183	0.0727483	1.73762	0.0399077	2386.64	95.2452
6.28319	5.31674	-48.020	0.0728468	1.73762	0.0400878	2383.39	95.5450
6.28319	5.36674	-47.855	0.0729710	1.73762	0.0401394	2379.33	95.5048
6.28319	5.41674	-47.704	0.0730949	1.73761	0.0410558	2375.20	97.5158
6.28319	5.46674	-47.553	0.0731872	1.73760	0.0411413	2372.18	97.5947
6.28319	5.51674	-47.391	0.0733137	1.73761	0.0414802	2368.07	98.2281
6.28319	5.56674	-47.238	0.0733880	1.73761	0.0421294	2365.61	99.6615
6.28319	5.61674	-47.073	0.0735676	1.73762	0.0421263	2359.84	99.4114
6.28319	5.66674	-46.898	0.0736875	1.73761	0.0425305	2355.95	100.200
6.28319	5.71674	-46.753	0.0737710	1.73763	0.0432367	2353.23	101.746
6.28319	5.76674	-46.587	0.0739485	1.73762	0.0430160	2347.59	100.984
6.28319	5.81674	-46.447	0.0740846	1.73761	0.0439767	2343.17	103.045
6.28319	5.86674	-46.304	0.0743067	1.73762	0.0441641	2336.16	103.175
6.28319	5.91674	-46.168	0.0744725	1.73761	0.0448037	2330.89	104.432
6.28319	5.96674	-46.004	0.0746677	1.73761	0.0447645	2324.80	104.069
6.28319	6.01674	-45.833	0.0747847	1.73762	0.0454074	2321.11	105.395
6.28319	6.06674	-45.685	0.0749516	1.73762	0.0459285	2315.88	106.365
6.28319	6.11674	-45.534	0.0750662	1.73762	0.0465037	2312.28	107.530
6.28319	6.16674	-45.386	0.0752237	1.73762	0.0471316	2307.37	108.750
6.28319	6.21674	-45.235	0.0753699	1.73761	0.0471746	2302.88	108.637
6.28319	6.26674	-45.091	0.0755310	1.73762	0.0473654	2297.96	108.844
6.28319	6.31674	-44.956	0.0756829	1.73761	0.0477321	2293.30	109.464
6.28319	6.36674	-44.826	0.0759013	1.73762	0.0488734	2286.58	111.753
6.28319	6.41674	-44.686	0.0760834	1.73761	0.0491827	2281.07	112.189
6.28319	6.46674	-44.536	0.0762864	1.73761	0.0500763	2274.89	113.918
6.28319	6.51674	-44.398	0.0764774	1.73761	0.0500971	2269.21	113.681
6.28319	6.56674	-44.246	0.0766738	1.73761	0.0509148	2263.30	115.236
6.28319	6.61674	-44.090	0.0768555	1.73761	0.0515067	2257.89	116.296
6.28319	6.66674	-43.939	0.0771004	1.73760	0.0518787	2250.66	116.761
6.28319	6.71674	-43.791	0.0771996	1.73761	0.0527358	2247.67	118.533
6.28319	6.76674	-43.656	0.0773847	1.73761	0.0531038	2242.26	119.072
6.28319	6.81674	-43.521	0.0775743	1.73762	0.0534427	2236.75	119.538
6.28319	6.86674	-43.387	0.0778434	1.73760	0.0537538	2228.95	119.815
6.28319	6.91674	-43.237	0.0780470	1.73762	0.0546291	2223.06	121.444
6.28319	6.96674	-43.095	0.0783603	1.73762	0.0547984	2214.15	121.332
6.28319	7.01674	-42.951	0.0786868	1.73760	0.0559268	2204.81	123.308
6.28319	7.06674	-42.797	0.0789172	1.73761	0.0570970	2198.24	125.513
6.28319	7.11674	-42.655	0.0791600	1.73761	0.0578368	2191.40	126.743
6.28319	7.16674	-42.511	0.0793731	1.73761	0.0583063	2185.45	127.425
6.28319	7.21674	-42.382	0.0796254	1.73760	0.0586004	2178.48	127.660
6.28319	7.26674	-42.248	0.0798493	1.73760	0.0595500	2172.25	129.358
6.28319	7.31674	-42.122	0.0801773	1.73761	0.0606363	2163.23	131.170
6.28319	7.36674	-41.978	0.0804071	1.73760	0.0607313	2157.03	130.999
6.28319	7.41674	-41.817	0.0807224	1.73760	0.0616901	2148.48	132.540
6.28319	7.46674	-41.673	0.0810305	1.73760	0.0622842	2140.23	133.303
6.28319	7.51674	-41.548	0.0812708	1.73760	0.0628666	2133.83	134.146
6.28319	7.56674	-41.425	0.0815592	1.73760	0.0634860	2126.19	134.983
6.28319	7.61674	-41.264	0.0819274	1.73761	0.0645981	2116.50	136.722
6.28319	7.66674	-41.115	0.0821975	1.73760	0.0650582	2109.48	137.239
6.28319	7.71674	-40.971	0.0824693	1.73761	0.0656231	2102.45	137.969
6.28319	7.76674	-40.814	0.0827113	1.73760	0.0672373	2096.07	140.934
6.28319	7.81674	-40.690	0.0831164	1.73760	0.0671441	2085.86	140.053
6.28319	7.86674	-40.534	0.0833839	1.73761	0.0682966	2079.02	141.990
6.28319	7.91674	-40.373	0.0836797	1.73760	0.0684799	2071.64	141.866
6.28319	7.96674	-40.246	0.0839770	1.73760	0.0692417	2064.20	142.929
6.28319	8.01674	-40.112	0.0842783	1.73760	0.0710627	2056.55	146.144
6.28319	8.06674	-39.980	0.0846864	1.73760	0.0711780	2046.63	145.675
6.28319	8.11674	-39.824	0.0850916	1.73760	0.0722861	2036.71	147.226
6.28319	8.16674	-39.665	0.0854310	1.73761	0.0726563	2028.59	147.390
6.28319	8.21674	-39.522	0.0858890	1.73759	0.0742366	2017.51	149.773
6.28319	8.26674	-39.375	0.0862866	1.73760	0.0748686	2008.13	150.346
6.28319	8.31674	-39.226	0.0867514	1.73760	0.0760630	1997.19	151.913
6.28319	8.36674	-39.083	0.0871781	1.73761	0.0768933	1987.31	152.811
6.28319	8.41674	-38.934	0.0876066	1.73760	0.0780248	1977.40	154.286
6.28319	8.46674	-38.782	0.0880303	1.73759	0.0786110	1967.78	154.689
6.28319	8.51674	-38.623	0.0884237	1.73760	0.0794152	1958.92	155.568
6.28319	8.56674	-38.494	0.0887592	1.73760	0.0804570	1951.35	157.000
6.28319	8.61674	-38.349	0.0891857	1.73760	0.0814227	1941.87	158.112
6.28319	8.66674	-38.192	0.0897058	1.73761	0.0816080	1930.59	157.551
6.28319	8.71674	-38.058	0.0902093	1.73760	0.0831284	1919.56	159.570
6.28319	8.76674	-37.927	0.0907045	1.73759	0.0839957	1908.94	160.343
6.28319	8.81674	-37.763	0.0912083	1.73760	0.0847853	1898.28	160.946
6.28319	8.86674	-37.629	0.0915484	1.73759	0.0856905	1891.07	162.047
6.28319	8.91674	-37.461	0.0919273	1.73759	0.0872454	1883.03	164.286
6.28319	8.96674	-37.314	0.0924037	1.73760	0.0882246	1873.17	165.260
6.28319	9.01674	-37.161	0.0929478	1.73759	0.0884014	1862.17	164.618
6.28319	9.06674	-36.999	0.0933046	1.73760	0.0891543	1854.93	165.375
6.28319	9.11674	-36.855	0.0937627	1.73759	0.0903975	1845.66	166.843
6.28319	9.16674	-36.681	0.0942759	1.73760	0.0912313	1835.47	167.453
6.28319	9.21674	-36.528	0.0948359	1.73760	0.0924479	1824.44	168.665
6.28319	9.26674	-36.363	0.0954140	1.73759	0.0932729	1813.24	169.126
6.28319	9.31674	-36.212	0.0960572	1.73759	0.0942282	1800.94	169.699
6.28319	9.36674	-36.089	0.0966310	1.73760	0.0956060	1790.02	171.137
6.28319	9.41674	-35.942	0.0971684	1.73759	0.0964211	1779.97	171.627
6.28319	9.46674	-35.780	0.0977073	1.73759	0.0976344	1769.95	172.808
6.28319	9.51674	-35.623	0.0982678	1.73760	0.0986324	1759.69	173.562
6.28319	9.56674	-35.488	0.0989221	1.73759	0.0999850	1747.81	174.755
6.28319	9.61674	-35.326	0.0996788	1.73759	0.101270	1734.32	175.634
6.28319	9.66674	-35.192	0.100272	1.73759	0.101714	1723.99	175.355
6.28319	9.71674	-35.031	0.100882	1.73759	0.103275	1713.29	176.939
6.28319	9.76674	-34.862	0.101507	1.73759	0.104034	1702.61	177.129
6.28319	9.81674	-34.717	0.102147	1.73759	0.105002	1691.76	177.638
6.28319	9.85007	-34.622	0.102653	1.73757	0.105812	1683.27	178.109
6.28319	9.93341	-34.358	0.103851	1.73760	0.108092	1663.48	179.808
6.28319	9.96674	-34.263	0.104293	1.73759	0.108129	1656.41	179.107
6.28319	10.0167	-34.126	0.104888	1.73759	0.109481	1646.77	180.291
6.28319	10.0667	-33.975	0.105520	1.73758	0.110166	1636.78	180.317
6.28319	10.1167	-33.802	0.106165	1.73759	0.111512	1626.61	181.387
6.28319	10.1667	-33.665	0.106916	1.73758	0.112595	1614.98	181.838
6.28319	10.2334	-33.482	0.108014	1.73758	0.114839	1598.17	183.532
6.28319	10.2584	-33.417	0.108317	1.73758	0.114738	1593.70	182.858
6.28319	10.3167	-33.230	0.109240	1.73758	0.116082	1580.00	183.410
6.28319	10.6667	-32.126	0.115871	1.73758	0.124453	1488.10	185.199
6.28319	10.7001	-32.039	0.116164	1.73757	0.125029	1484.24	185.573
6.28319	10.7501	-31.902	0.116877	1.73758	0.126092	1475.00	185.986
6.28319	10.8001	-31.756	0.117661	1.73757	0.127132	1464.97	186.245
